Id,ActivityDay,StepTotal,Day of Week,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
user_one,4/12/2016,13162,Tuesday,1985,728,328,13,25,0,6.06,0.55,1.88
user_one,4/13/2016,10735,Wednesday,1797,776,217,19,21,0,4.71,0.69,1.57
user_one,4/14/2016,10460,Thursday,1776,1218,181,11,30,0,3.91,0.40,2.44
user_one,4/15/2016,9762,Friday,1745,726,209,34,29,0,2.83,1.26,2.14
user_one,4/16/2016,12669,Saturday,1863,773,221,10,36,0,5.04,0.41,2.71
user_one,4/17/2016,9705,Sunday,1728,539,164,20,38,0,2.51,0.78,3.19
user_one,4/18/2016,13019,Monday,1921,1149,233,16,42,0,4.71,0.64,3.25
user_one,4/19/2016,15506,Tuesday,2035,775,264,31,50,0,5.03,1.32,3.53
user_one,4/20/2016,10544,Wednesday,1786,818,205,12,28,0,4.24,0.48,1.96
user_one,4/21/2016,9819,Thursday,1775,838,211,8,19,0,4.65,0.35,1.34
user_one,4/22/2016,12764,Friday,1827,1217,130,27,66,0,2.24,1.12,4.76
user_one,4/23/2016,14371,Saturday,1949,732,262,21,41,0,5.36,0.87,2.81
user_one,4/24/2016,10039,Sunday,1788,709,238,5,39,0,3.28,0.21,2.92
user_one,4/25/2016,15355,Monday,2013,814,216,14,73,0,3.94,0.57,5.29
user_one,4/26/2016,13755,Tuesday,1970,833,279,23,31,0,5.54,0.92,2.33
user_one,4/27/2016,18134,Wednesday,2159,1108,243,11,78,0,5.41,0.41,6.40
user_one,4/28/2016,13154,Thursday,1898,782,189,28,48,0,3.79,1.16,3.54
user_one,4/29/2016,11181,Friday,1837,815,243,12,16,0,5.58,0.50,1.06
user_one,4/30/2016,14673,Saturday,1947,712,217,34,52,0,4.27,1.42,3.56
user_one,5/1/2016,10602,Sunday,1820,730,246,35,33,0,2.92,1.60,2.29
user_one,5/2/2016,14727,Monday,2004,798,277,15,41,0,5.92,0.57,3.21
user_one,5/3/2016,15103,Tuesday,1990,816,254,24,50,0,4.88,1.05,3.73
user_one,5/4/2016,11100,Wednesday,1819,1179,203,22,36,0,3.82,0.87,2.46
user_one,5/5/2016,14070,Thursday,1959,857,250,24,45,0,4.88,1.08,2.92
user_one,5/6/2016,12159,Friday,1896,754,289,6,24,0,5.81,0.25,1.97
user_one,5/7/2016,11992,Saturday,1821,833,175,46,37,0,3.13,2.12,2.46
user_one,5/8/2016,10060,Sunday,1740,574,203,8,44,0,2.73,0.32,3.53
user_one,5/9/2016,12022,Monday,1819,835,206,11,46,0,3.74,0.53,3.45
user_one,5/10/2016,12207,Tuesday,1859,746,214,31,46,0,3.26,1.16,3.35
user_one,5/11/2016,12770,Wednesday,1783,669,251,23,36,0,4.55,1.01,2.56
user_one,5/12/2016,0,Thursday,0,1440,0,0,0,0,0.00,0.00,0.00
user_two,4/12/2016,8163,Tuesday,1432,1294,146,0,0,0,5.31,0.00,0.00
user_two,4/13/2016,7007,Wednesday,1411,1292,148,0,0,0,4.55,0.00,0.00
